period,reporterDesc,flowDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue
2014,Viet Nam,Import,N/A,,false,,false,,false,319353,,319353
2014,Viet Nam,Export,N/A,,false,2225,true,,false,,4126,4126
2014,Slovenia,Import,kg,31939,false,31939,false,,false,254832,,254832
2014,Slovenia,Export,kg,2314,false,2314,false,,false,,18577,18577
2014,South Africa,Import,kg,6567473.49,false,6567473.49,false,0,false,,13863690599,13863690599
2014,South Africa,Export,kg,44535033338,true,44535033338,true,0,false,,261704589635,261704589635
2014,Zimbabwe,Import,kg,337,false,337,false,0,false,1036.66,,1036.66
2014,Spain,Import,kg,5005350.65,false,5005350.65,false,0,false,11926243589,,11926243589
2014,Spain,Export,kg,16316561368,false,16316561368,false,0,false,,40612696521,40612696521
2014,Eswatini,Import,kg,2931.35,false,2931.35,false,0,false,9095246,,9095246
2014,Sweden,Import,kg,117502528,true,117502528,true,0,false,677167493,0,677167493
2014,Sweden,Export,kg,9866968,true,9866968,true,0,false,0,63419448,63419448
2014,Switzerland,Import,kg,640396965,true,640396965,true,0,false,3398347216,0,3398347216
2014,Switzerland,Export,kg,577603839,true,577603839,true,0,false,0,1191496108,1191496108
2014,Thailand,Import,kg,3748961,false,3748961,false,,false,37388089,,37388089
2014,Thailand,Export,kg,78,true,78,true,,false,,1639,1639
2014,Tonga,Import,N/A,,false,,false,,false,114,,114
2014,Tonga,Export,N/A,,false,9,true,,false,,17,17
2014,Trinidad and Tobago,Import,kg,370,false,370,false,0,false,3709108,0,3709108
2014,United Arab Emirates,Import,kg,240057.13,false,240057.13,false,,false,1310766.51,,1310766.51
2014,United Arab Emirates,Export,kg,237455.86,false,237455.86,false,,false,,1283350325,1283350325
2014,Tunisia,Import,kg,61384,false,61384,false,,false,549118,,549118
2014,Tunisia,Export,kg,2507739,false,2507739,false,,false,,2921697,2921697
2014,T�rkiye,Import,kg,21831902,false,21831902,false,0,false,32680921,29628398,32680921
2014,T�rkiye,Export,kg,18507007,false,18507007,false,0,false,0,53910413,53910413
2014,Uganda,Import,kg,1500,false,1500,false,,false,505,,505
2014,Ukraine,Import,kg,1112209,false,1112209,false,,false,1678756,,1678756
2014,Ukraine,Export,kg,168414,false,168414,false,,false,,283474,283474
2014,North Macedonia,Import,kg,322618,false,322618,false,,false,382911,,382911
2014,North Macedonia,Export,kg,1437857,false,1437857,false,,false,,1456301,1456301
2014,Egypt,Import,kg,5616488,false,5616488,false,,false,41136990,,41136990
2014,Egypt,Export,kg,3266351,false,3266351,false,,false,,2738264,2738264
2014,United Kingdom,Import,kg,41171225,false,41171225,false,,false,122067250,,122067250
2014,United Kingdom,Export,kg,36167036,false,36167036,false,,false,,127847180,127847180
2014,United Rep. of Tanzania,Import,kg,2866,false,2866,false,,false,1215,,1215
2014,United Rep. of Tanzania,Export,kg,10,false,10,false,,false,,299,299
2014,USA,Import,kg,3864452,false,3864452,false,,false,22412786,,22412786
2014,USA,Export,kg,5577503,false,5577503,false,,false,,18660688,18660688
2014,Burkina Faso,Import,kg,12209,false,12209,false,0,false,12026113,0,12026113
2014,Uruguay,Import,kg,16566514,false,16566514,false,,false,50607195,,50607195
2014,Uruguay,Export,kg,20226854,false,20226854,false,,false,,106867776,106867776
2014,Samoa,Import,kg,1332,false,1332,false,,false,657,,657
2014,Zambia,Import,kg,81518,true,81518,true,0,false,201123,,201123
2015,Algeria,Export,kg,478000,false,478000,false,,false,,185311,185311
2015,Andorra,Import,kg,96,false,96,false,0,false,1003578,,1003578
2015,Angola,Import,kg,3820,false,69965,false,,false,85620.97,62362.73,85620.97
2015,Argentina,Import,kg,68197,false,68197,false,,false,350407.71,343652.84,350407.71
2015,Argentina,Export,kg,15111541.5,false,15111541.5,false,,false,,51780772.24,51780772.24
2015,Australia,Import,kg,2143130,false,2143130,false,,false,,9717490,9717490
2015,Australia,Export,kg,343371707,false,343371707,false,,false,,2193434326,2193434326
2015,Austria,Import,kg,1170554,false,1170554,false,0,false,6174571936,,6174571936
2015,Austria,Export,kg,38799,false,38799,false,0,false,,240900849,240900849
2015,Bahamas,Import,kg,467,false,467,false,,false,2121,,2121
2015,Bahrain,Import,kg,406,false,406,false,,false,113945.58,,113945.58
2015,Bahrain,Export,kg,9100,false,9100,false,,false,,2606379,2606379
2015,Bangladesh,Import,kg,7658,true,7658,true,,false,162242,,162242
2015,Barbados,Import,kg,24,false,24,false,,false,760,,760
2015,Belgium,Import,kg,20921499.46,false,20921499.46,false,0,false,46538591143,0,46538591143
2015,Belgium,Export,kg,12697045.77,false,12697045.77,false,0,false,0,30302341412,30302341412
2015,Bermuda,Import,kg,52,false,52,false,,false,923,,923
2015,Bolivia (Plurinational State of),Import,kg,35954,false,35954,false,,false,308593.1,299432.75,308593.1
2015,Bolivia (Plurinational State of),Export,kg,44430,false,44430,false,,false,,147337.21,147337.21
2015,Bosnia Herzegovina,Import,kg,7686,false,7686,false,,false,23240,,23240
2015,Bosnia Herzegovina,Export,kg,698798,false,698798,false,,false,,388079,388079
2015,Botswana,Import,kg,2461.83,false,2611.33,false,0,false,37579451,,37579451
2015,Brazil,Import,kg,165488,false,165488,false,0,false,780117,766385,780117
2015,Brazil,Export,kg,9369182,false,9369182,false,0,false,,31982749,31982749
2015,Bulgaria,Import,kg,4303861,false,4303861,false,,false,6063829,,6063829
2015,Bulgaria,Export,kg,1209759,false,1209759,false,,false,,1753319,1753319
2015,Myanmar,Import,kg,55520.51,true,,true,0,false,5565.37,,5565.37
2015,Burundi,Import,kg,490,false,490,false,,false,2475,,2475
2015,Belarus,Import,kg,6759291,false,6759291,false,,false,14036300,,14036300
2015,Belarus,Export,kg,2690936,false,2690936,false,,false,,9679300,9679300
2015,Cambodia,Import,kg,10083,false,10083,false,,false,483320,,483320
2015,Cameroon,Import,kg,460,false,460,false,,false,598,,598
2015,Canada,Import,kg,856237,false,856237,false,0,false,,4110218674,4110218674
2015,Canada,Export,kg,622858,false,622858,false,0,false,,2392110583,2392110583
2015,Cabo Verde,Import,kg,165,false,165,false,,false,522459,,522459
2015,Sri Lanka,Import,kg,6330,false,6330,false,,false,118838,,118838
2015,Chile,Import,kg,28851.62,true,28851.62,true,0,false,117953164,114300277,117953164
2015,Chile,Export,kg,4274222.6,false,4274222.6,false,0,false,0,16933186.45,16933186.45
2015,China,Import,kg,349727817,false,349727817,false,,false,2463687474,,2463687474
2015,China,Export,kg,13350644,false,13350644,false,,false,,53082485,53082485
2015,Colombia,Export,kg,4628,false,4628,false,,false,,13342,13342
2015,Comoros,Import,kg,2482,false,2482,false,0,false,2892443,,2892443
2015,Dem. Rep. of the Congo,Import,kg,27372,false,27372,false,0,false,24111962,0,24111962
2015,Croatia,Export,kg,115896,false,115896,false,,false,,80477,80477
2015,Cyprus,Export,kg,271345,false,271345,false,0,false,,207344.68,207344.68
2015,Czechia,Import,kg,36360601,true,36360601,true,,false,187598241,,187598241
2015,Czechia,Export,kg,629033,true,629033,true,,false,,944186,944186
2015,Denmark,Import,kg,6625162,false,6625162,false,,false,23197996,,23197996
2015,Denmark,Export,kg,178,false,178,false,,false,,14007,14007
2015,Dominican Rep.,Import,kg,454,false,454,false,0,false,952912,878759,952912
2015,Dominican Rep.,Export,kg,148,false,148,false,0,false,0,177506,177506
2015,Ecuador,Import,kg,61597,false,61597,false,,false,342974,,342974
2015,Ecuador,Export,kg,2749,false,2749,false,,false,,3850,3850
